,ANO,MÊS,GRANDE REGIÃO,UNIDADE DA FEDERAÇÃO,PRODUTOR,PRODUTO,PRODUÇÃO
6255,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,ALIANÇA,BIODIESEL,0
6256,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,BUNGE,BIODIESEL,0
6257,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,BARRALCOOL,BIODIESEL,0
6258,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,CARAMURU (SORRISO),BIODIESEL,0
6259,2010,NOV,REGIÃO CENTRO-OESTE,GOIÁS,CEREAL,BIODIESEL,0
6260,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,CARGILL,BIODIESEL,0
6261,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,BIO VIDA,BIODIESEL,0
6262,2010,FEV,REGIÃO CENTRO-OESTE,GOIÁS,MINERVA,BIODIESEL,0
6263,2010,FEV,REGIÃO CENTRO-OESTE,GOIÁS,JATAI,BIODIESEL,0
6264,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,COFCO,BIODIESEL,0
