ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTOR;PRODUTO;PRODUÇÃO
2005;JAN;REGIÃO CENTRO-OESTE;MATO GROSSO;FIAGRIL;BIODIESEL;0
2005;FEV;REGIÃO CENTRO-OESTE;MATO GROSSO;FIAGRIL;BIODIESEL;0
2005;NOV;REGIÃO SUDESTE;SÃO PAULO;FERTIBOM;BIODIESEL;0
2005;DEZ;REGIÃO SUDESTE;SÃO PAULO;FERTIBOM;BIODIESEL;0
2005;NOV;REGIÃO NORTE;PARÁ;DVH CHEMICAL;BIODIESEL;0
2005;DEZ;REGIÃO NORTE;PARÁ;DVH CHEMICAL;BIODIESEL;0
2005;SET;REGIÃO NORTE;PARÁ;DVH CHEMICAL;BIODIESEL;0
2005;OUT;REGIÃO NORTE;PARÁ;DVH CHEMICAL;BIODIESEL;0
2005;JAN;REGIÃO SUDESTE;SÃO PAULO;FERTIBOM;BIODIESEL;0
2005;ABR;REGIÃO SUDESTE;SÃO PAULO;FERTIBOM;BIODIESEL;0
2005;MAI;REGIÃO SUDESTE;SÃO PAULO;FERTIBOM;BIODIESEL;0
2005;FEV;REGIÃO SUDESTE;SÃO PAULO;FERTIBOM;BIODIESEL;0
2005;MAR;REGIÃO SUDESTE;SÃO PAULO;FERTIBOM;BIODIESEL;0
2005;FEV;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERFELIZ;BIODIESEL;0
2005;JAN;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERBIO (LUCAS DO RIO VERDE);BIODIESEL;0
2005;FEV;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERBIO (LUCAS DO RIO VERDE);BIODIESEL;0
2005;NOV;REGIÃO CENTRO-OESTE;MATO GROSSO;COOMISA;BIODIESEL;0
2005;DEZ;REGIÃO CENTRO-OESTE;MATO GROSSO;COOMISA;BIODIESEL;0
2005;MAR;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERBIO (LUCAS DO RIO VERDE);BIODIESEL;0
2005;JUN;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERBIO (LUCAS DO RIO VERDE);BIODIESEL;0
2005;JUL;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERBIO (LUCAS DO RIO VERDE);BIODIESEL;0
